N,D,C,loss
73824689.09803498,25181340209.242306,1.1154027672114962e+19,3.048504933511402
116713664.82856458,15420664230.992733,1.0798813418939523e+19,2.949663448686964
174943218.88932863,38673313957.126724,4.0593804172664095e+19,2.7697776574701383
251069235.8890672,42984767243.94665,6.475291600084255e+19,2.6799733296868915
305636354.3339921,43797669311.83944,8.031695986077824e+19,2.640121479394902
424610584.80864125,111388297613.00502,2.8377990114178227e+20,2.5165346421087142
632225315.1050493,143561064439.37482,5.445776352120002e+20,2.445912595343321
1143254386.0424843,79786888366.37485,5.4730026044124063e+20,2.370154554190775
1609082737.1451895,101243742748.79565,9.774573522063334e+20,2.314014990235024
2282809197.457954,131054620670.25429,1.7950361606125186e+21,2.249076295522973
2638636453.983005,186700083834.79483,2.9558018830090366e+21,2.205693537488266
4516059019.172614,110297433754.02626,2.988658322978785e+21,2.205693537488266
6795614805.310381,317754489343.9688,1.2956022673438285e+22,2.0773942450664395
9293216132.140877,90232884891.06113,5.031322209115321e+21,2.1794149286876103
12568994539.217417,39437962329.91446,2.9741731989753425e+21,2.265984744495722
